epoch,step,train_loss,valid_loss
0,19,,231.5112762451172
0,19,365.4164123535156,
1,39,,213.5910186767578
1,39,230.6822967529297,
2,59,,187.18087768554688
2,59,214.76760864257812,
3,79,,164.87893676757812
3,79,184.94635009765625,
4,99,,170.2306365966797
4,99,184.4290313720703,
5,119,,185.15615844726562
5,119,184.6995849609375,
6,139,,207.34048461914062
6,139,194.01071166992188,
7,159,,179.38455200195312
7,159,180.47531127929688,
8,179,,208.1898956298828
8,179,174.1697540283203,
9,199,,181.6256103515625
9,199,180.41769409179688,
10,219,,200.212646484375
10,219,177.88128662109375,
11,239,,180.98182678222656
11,239,166.7629852294922,
12,259,,176.39015197753906
12,259,174.9570770263672,
13,279,,188.91860961914062
13,279,168.40316772460938,
14,299,,168.07376098632812
14,299,164.08834838867188,
15,319,,182.07418823242188
15,319,178.26661682128906,
16,339,,186.63052368164062
16,339,172.4662628173828,
17,359,,180.1835174560547
17,359,183.9472198486328,
18,379,,190.45236206054688
18,379,163.28480529785156,
19,399,,176.99411010742188
19,399,166.71852111816406,
20,419,,196.8692626953125
20,419,157.85202026367188,
21,439,,176.48770141601562
21,439,163.0126495361328,
22,459,,172.29791259765625
22,459,174.34210205078125,
23,479,,165.4634552001953
23,479,168.4829864501953,
24,499,,171.4651336669922
24,499,164.15414428710938,
25,519,,190.062255859375
25,519,168.99354553222656,
26,539,,174.3314208984375
26,539,162.05654907226562,
27,559,,165.20254516601562
27,559,152.5865936279297,
28,579,,164.24093627929688
28,579,167.62498474121094,
29,599,,175.4254913330078
29,599,150.7295684814453,
