epoch,step,train_loss,valid_loss
0,19,,257.69305419921875
0,19,385.61285400390625,
1,39,,214.45260620117188
1,39,219.7176055908203,
2,59,,221.4199676513672
2,59,201.31393432617188,
3,79,,243.0082550048828
3,79,207.6255340576172,
4,99,,190.48951721191406
4,99,193.5311737060547,
5,119,,181.0205078125
5,119,165.17721557617188,
6,139,,234.024658203125
6,139,162.19436645507812,
7,159,,224.5575408935547
7,159,182.28890991210938,
8,179,,172.26953125
8,179,174.96920776367188,
9,199,,177.66650390625
9,199,174.74765014648438,
10,219,,178.4154815673828
10,219,180.6538848876953,
11,239,,210.3583221435547
11,239,178.11233520507812,
12,259,,186.09902954101562
12,259,172.33572387695312,
13,279,,173.1079559326172
13,279,164.6196746826172,
14,299,,202.9429931640625
14,299,166.28469848632812,
15,319,,175.53692626953125
15,319,173.963134765625,
16,339,,179.5285186767578
16,339,177.2026824951172,
17,359,,179.51602172851562
17,359,163.81492614746094,
18,379,,189.13047790527344
18,379,165.2386474609375,
19,399,,176.1102294921875
19,399,168.7306365966797,
20,419,,194.82815551757812
20,419,166.80960083007812,
21,439,,181.34689331054688
21,439,170.8047637939453,
22,459,,184.1099853515625
22,459,153.9805450439453,
23,479,,195.3003387451172
23,479,170.35568237304688,
24,499,,167.79385375976562
24,499,155.1544189453125,
25,519,,178.10482788085938
25,519,160.14767456054688,
26,539,,179.793701171875
26,539,157.52395629882812,
27,559,,173.07974243164062
27,559,155.15713500976562,
28,579,,167.0637664794922
28,579,156.54483032226562,
29,599,,175.1580047607422
29,599,161.03567504882812,
