epoch,step,train_loss,valid_loss
0,977,,140.8771514892578
0,977,163.49203491210938,
1,1955,,127.33948516845703
1,1955,129.80349731445312,
2,2933,,121.53723907470703
2,2933,101.26152801513672,
3,3911,,113.95814514160156
3,3911,85.49080657958984,
4,4889,,109.6595230102539
4,4889,75.9822006225586,
5,5867,,117.04730987548828
5,5867,70.90911865234375,
6,6845,,105.4280776977539
6,6845,66.88521575927734,
7,7823,,110.45736694335938
7,7823,64.55491638183594,
8,8801,,103.89608764648438
8,8801,63.17148971557617,
9,9779,,101.23033905029297
9,9779,61.459476470947266,
10,10757,,100.24140167236328
10,10757,58.991302490234375,
11,11735,,102.2326889038086
11,11735,58.8075065612793,
12,12713,,100.90434265136719
12,12713,56.775726318359375,
13,13691,,101.8736343383789
13,13691,56.076683044433594,
14,14669,,101.13697052001953
14,14669,55.61571502685547,
15,15647,,101.7496337890625
15,15647,54.73551940917969,
16,16625,,98.37068939208984
16,16625,54.423553466796875,
17,17603,,98.4754409790039
17,17603,53.8531608581543,
18,18581,,100.54444122314453
18,18581,52.62140655517578,
19,19559,,98.52306365966797
19,19559,53.41820526123047,
20,20537,,98.40221405029297
20,20537,52.00490188598633,
21,21515,,97.00279998779297
21,21515,51.702301025390625,
22,22493,,103.52925109863281
22,22493,51.81206130981445,
23,23471,,99.6567153930664
23,23471,50.79621887207031,
24,24449,,98.44705200195312
24,24449,50.323726654052734,
25,25427,,98.2332763671875
25,25427,49.81638717651367,
26,26405,,98.71949005126953
26,26405,50.183197021484375,
27,27383,,98.11282348632812
27,27383,50.56763458251953,
28,28361,,97.4659652709961
28,28361,49.568599700927734,
29,29339,,96.50370788574219
29,29339,49.685550689697266,
