epoch,step,train_loss,valid_loss
0,19,,244.10952758789062
0,19,400.780517578125,
1,39,,191.05990600585938
1,39,223.37020874023438,
2,59,,178.88299560546875
2,59,196.42672729492188,
3,79,,195.4059295654297
3,79,194.70004272460938,
4,99,,169.94451904296875
4,99,186.75259399414062,
5,119,,181.4273681640625
5,119,167.86004638671875,
6,139,,176.69857788085938
6,139,188.8714141845703,
7,159,,172.96176147460938
7,159,156.193115234375,
8,179,,176.65887451171875
8,179,164.73902893066406,
9,199,,164.82818603515625
9,199,193.2525634765625,
10,219,,190.71609497070312
10,219,181.90652465820312,
11,239,,167.91893005371094
11,239,172.16200256347656,
12,259,,191.4393310546875
12,259,168.99122619628906,
13,279,,185.58584594726562
13,279,185.40011596679688,
14,299,,194.2161407470703
14,299,168.46310424804688,
15,319,,177.87445068359375
15,319,170.31710815429688,
16,339,,179.8759307861328
16,339,176.92355346679688,
17,359,,178.52369689941406
17,359,175.61502075195312,
18,379,,179.59779357910156
18,379,161.2709503173828,
19,399,,167.5104217529297
19,399,178.3553924560547,
20,419,,175.7342987060547
20,419,165.01806640625,
21,439,,164.4014892578125
21,439,163.4872589111328,
22,459,,225.56884765625
22,459,163.70640563964844,
23,479,,174.71388244628906
23,479,163.04898071289062,
24,499,,186.48548889160156
24,499,162.6230010986328,
25,519,,178.94044494628906
25,519,154.22959899902344,
26,539,,195.37498474121094
26,539,164.89305114746094,
27,559,,180.64767456054688
27,559,159.72265625,
28,579,,201.21603393554688
28,579,160.34878540039062,
29,599,,171.623046875
29,599,171.81240844726562,
