epoch,step,train_loss,valid_loss
0,19,,292.1592712402344
0,19,381.51708984375,
1,39,,224.00527954101562
1,39,216.570068359375,
2,59,,188.89437866210938
2,59,190.38027954101562,
3,79,,250.13369750976562
3,79,183.96966552734375,
4,99,,207.0764923095703
4,99,205.2926025390625,
5,119,,192.40768432617188
5,119,179.7736053466797,
6,139,,186.66659545898438
6,139,182.39913940429688,
7,159,,173.27584838867188
7,159,176.59625244140625,
8,179,,181.24559020996094
8,179,162.67965698242188,
9,199,,211.29306030273438
9,199,170.22702026367188,
10,219,,173.79823303222656
10,219,169.57327270507812,
11,239,,179.37307739257812
11,239,165.9500732421875,
12,259,,212.57470703125
12,259,162.19607543945312,
13,279,,191.67237854003906
13,279,155.6074676513672,
14,299,,205.9326934814453
14,299,151.68545532226562,
15,319,,178.89254760742188
15,319,170.613525390625,
16,339,,173.89920043945312
16,339,171.6938934326172,
17,359,,194.2814178466797
17,359,154.3594207763672,
18,379,,175.8695526123047
18,379,171.16090393066406,
19,399,,216.9139862060547
19,399,166.5828857421875,
20,419,,188.46737670898438
20,419,175.31468200683594,
21,439,,180.11727905273438
21,439,170.84170532226562,
22,459,,167.49415588378906
22,459,162.23426818847656,
23,479,,182.4463348388672
23,479,168.9451904296875,
24,499,,185.03878784179688
24,499,156.50857543945312,
25,519,,162.7119903564453
25,519,157.54971313476562,
26,539,,197.70016479492188
26,539,157.29074096679688,
27,559,,171.4724578857422
27,559,163.25436401367188,
28,579,,172.9444122314453
28,579,170.29197692871094,
29,599,,179.6895751953125
29,599,164.51608276367188,
