epoch,step,train_loss,valid_loss
0,19,,232.64694213867188
0,19,396.4217224121094,
1,39,,178.5111846923828
1,39,216.810302734375,
2,59,,198.37644958496094
2,59,201.22348022460938,
3,79,,178.56785583496094
3,79,208.29757690429688,
4,99,,181.14051818847656
4,99,191.11114501953125,
5,119,,179.72833251953125
5,119,170.5880889892578,
6,139,,183.51998901367188
6,139,177.69573974609375,
7,159,,190.91830444335938
7,159,179.8019561767578,
8,179,,212.9778289794922
8,179,160.8119354248047,
9,199,,195.9605712890625
9,199,170.30502319335938,
10,219,,187.2877197265625
10,219,174.68040466308594,
11,239,,220.8378143310547
11,239,180.27716064453125,
12,259,,171.2407989501953
12,259,171.23170471191406,
13,279,,201.63613891601562
13,279,173.34603881835938,
14,299,,183.38259887695312
14,299,163.58645629882812,
15,319,,191.93719482421875
15,319,163.77174377441406,
16,339,,170.4167938232422
16,339,168.8672332763672,
17,359,,177.11317443847656
17,359,167.35897827148438,
18,379,,177.83316040039062
18,379,161.77078247070312,
19,399,,169.70724487304688
19,399,170.8439483642578,
20,419,,183.84866333007812
20,419,174.2165069580078,
21,439,,181.65945434570312
21,439,172.03292846679688,
22,459,,170.4651641845703
22,459,159.76473999023438,
23,479,,163.96705627441406
23,479,165.3665313720703,
24,499,,169.7482452392578
24,499,158.82266235351562,
25,519,,198.07131958007812
25,519,166.87242126464844,
26,539,,166.1598358154297
26,539,169.04660034179688,
27,559,,164.74908447265625
27,559,157.30894470214844,
28,579,,175.237060546875
28,579,159.11184692382812,
29,599,,173.8330535888672
29,599,161.58303833007812,
